BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Formula,Library Molecular Weight
842,"9-Octadecenoic acid, (2-phenyl-1,3-dioxolan-4-yl)methyl ester, cis-",,lib,,true,1894.4444444444446,,40756,mainlib,36519,684,692,52.20000076293945,,0,47.52272674360719,0.5263056218356649,48.07520839593781,1609.745539907476,,,0.0,0.0,0.0,C28H44O4,444
878,"Bi-1-cyclohexen-1-yl, 3,3,3',3',5,5,5',5'-octamethyl-",,lib,,true,2149.618320610687,,212735,mainlib,156765,653,751,17.520000457763672,,0,54.37605151735355,0.38182956878273727,41.44333989289589,1603.6829795742055,,,0.0,0.0,0.0,C20H34,274
734,"Acetophenone oxime, 3,5-di(tert-butyl)-4-hydroxy-",,lib,,true,1755.696202531646,,209071,mainlib,261598,767,813,37.189998626708984,,0,43.46587357294123,0.4850267495348284,89.25585245754337,1597.0987213008657,,,0.0,0.0,0.0,C16H25NO2,263
864,"Cholan-24-oic acid, 3-oxo-, methyl ester, (5α)-",,lib,,true,2463.063063063063,,201236,mainlib,56044,637,682,23.1200008392334,,0,61.780793226918604,0.7017408291142199,43.719141528825276,1589.4240594034636,,,0.0,0.0,0.0,C25H40O3,388
924,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",,lib,oil,true,2710.679611650485,,20028,mainlib,155907,767,818,29.360000610351562,,0,67.019254117196,0.39214928685794637,35.5362266877637,1571.069652043754,,,0.0,0.0,0.0,C30H52O2,444
847,"Acridin-9-amine, 1,2,3,4-tetrahydro-5,8-dimethyl-",,lib,,true,2114.5038167938933,,199096,mainlib,259327,724,754,22.049999237060547,,0,53.47015226565145,0.6191830845125469,48.472969997208565,1570.1361701759015,,,0.0,0.0,0.0,C15H18N2,226
837,"Phenanthrene, 2,3,5-trimethyl-",,lib,,true,2241.666666666667,,196137,mainlib,10285,682,812,15.649999618530273,,0,56.66049310860235,0.722380265264638,48.316689643776044,1568.584818843905,,,0.0,0.0,0.0,C17H16,220
943,"Ethanol, 2-(octadecyloxy)-",,lib,oil,true,2145.038167938931,,24333,mainlib,36195,778,787,8.260000228881836,,0,54.25789074539241,0.2167140795793914,33.363638213299055,1559.6276548354679,,,0.0,0.0,0.0,C20H42O2,314
711,"2-Pentanone, 4-cyclohexylidene-3,3-diethyl-",,lib,,true,1697.46835443038,,179451,mainlib,149354,709,740,22.059999465942383,,0,41.654075069537015,1.3312436317019758,101.64185593670118,1541.4122081208309,,,0.0,0.0,0.0,C15H26O,222
798,"Ethanone, 1-(1,2,3,5,6,7-hexahydro-1,1,5,5-tetramethyl-s-indacen-4-yl)-",,lib,,true,2175.5725190839694,,205604,mainlib,35123,686,722,25.0,,0,55.04562922513337,0.6811013929638016,56.59316640498582,1539.9688579894864,,,0.0,0.0,0.0,C18H24O,256
1145,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",,lib,oil,true,2818.5567010309273,,20028,mainlib,155907,741,787,15.369999885559082,,0,69.18553493648365,0.4127887230083646,18.27616866392782,1538.7628323418594,,,0.0,0.0,0.0,C30H52O2,444
850,"Ibogamine-18-carboxylic acid, 3,4-didehydro-, methyl ester, (2α,5ß,6α,18ß)-",,lib,,true,2290.0,,29341,mainlib,131048,670,688,18.459999084472656,,0,57.80271390422674,0.6811013929638016,46.09582988079637,1519.668201901215,,,0.0,0.0,0.0,C21H24N2O2,336
779,9-Ethyl-10-methylanthracene,,lib,,true,2172.5190839694656,,187820,mainlib,326041,776,817,41.83000183105469,,0,54.96685537715928,0.6914211110390107,65.12154226144776,1516.2538231489361,,,0.0,0.0,0.0,C17H16,220
827,"7-Isopropyl-1,1,4a-trimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthrene",,lib,,true,2062.5954198473282,2074.0,211399,mainlib,210289,714,727,31.229999542236328,,0,52.13099685009182,0.3302309784066917,52.40088951319922,1488.2071724659381,,,0.0,0.0,0.0,C20H30,270
651,"Quinoline, 2,3,4-trimethyl-",,lib,,true,1654.4303797468356,1616.0,159936,mainlib,47003,887,927,59.11000061035156,,0,40.31491965397738,0.6707816748885924,229.2266456281177,1485.7886018637118,,,0.0,0.0,0.0,C12H13N,171
844,"Anthacene, 1,2,3,4,6,7,8,9-octahydro-2,2,5-trimethyl-",,lib,,true,2164.885496183206,,13869,mainlib,214199,652,702,29.0,,0,54.769920757224035,0.629502802587756,46.70075570070185,1481.6122434674653,,,0.0,0.0,0.0,C17H24,228
