BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes
1145,20200803_1535_blob_1145_oil,caice_ssa_final_0803_1535,squalene,0,678,2818.556701,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",741,787,,C30H52O2,,,444,TRUE,TRUE,
1227,20200803_0949_blob_1227_,caice_ssa_final_0805_0949,squalene,0,593,1830.985915,2867,Calarene epoxide,736,799,,C15H24O,,,220,TRUE,TRUE,
1284,20200803_1535_blob_1284_,caice_ssa_final_0803_1535,squalene,377,427,2870.103093,2867,"Phthalic acid, decyl isohexyl ester",731,786,,C24H38O4,,,390,TRUE,TRUE,
722,20200803_1535_blob_722_,caice_ssa_final_0803_1535,squalene,0,693,2335,2867,1-Heptatriacotanol,730,834,,C37H76O,,,536,TRUE,TRUE,
1323,20200803_1535_blob_1323_oil,caice_ssa_final_0803_1535,squalene,575,682,2865.979381,2867,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",727,820,,C33H56,,,452,TRUE,TRUE,
1364,20200803_1535_blob_1364_oil,caice_ssa_final_0803_1535,squalene,0,667,2896.907216,2867,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",717,806,,C33H56,,,452,TRUE,TRUE,
1172,20200803_0949_blob_1172_,caice_ssa_final_0805_0949,squalene,0,615,1833.802817,2867,"2(3H)-Benzofuranone, 6-ethenylhexahydro-3,6-dimethyl-7-(1-methylethenyl)-, [3S-(3α,3aα,6α,7ß,7aß)]-",715,778,1806,C15H22O2,,,234,TRUE,TRUE,
1225,20200803_0949_blob_1225_,caice_ssa_final_0805_0949,squalene,671,737,2865.263158,2867,"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",696,780,,C14H24O,,,208,TRUE,TRUE,
1063,20200803_0949_blob_1063_,caice_ssa_final_0805_0949,squalene,0,536,1485.227273,2867,"2,5-cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-hydroxy-4-methyl-",685,855,,C15H24O2,,,236,TRUE,TRUE,
1343,20200803_1535_blob_1343_,caice_ssa_final_0803_1535,squalene,0,637,2085.496183,2867,14-Formol-9-hydroxyarteether,670,676,,C17H26O7,,,342,TRUE,TRUE,
